location,latitude,longitude
Portland,43.66147,-70.25533
Waterville,44.55201,-69.63171
Augusta,44.334919,-69.734205
Wiscasset,44.010754,-69.678028
Belfast,44.425874,-69.026418
Bigelow,43.87647,-69.63366
