ID,date_time,temperature,light_intensity,five
21,9/24/2014 8:00,6.471,398.3,5
22,9/24/2014 8:15,6.978,570.5,5
23,9/24/2014 8:30,7.2,1054.9,5
24,9/24/2014 8:45,8.282,1636.1,5
25,9/24/2014 9:00,9.669,9644.5,5
26,9/24/2014 9:15,10.748,6200,5
27,9/24/2014 9:30,11.041,4994.5,5
28,9/24/2014 9:45,11.334,4822.3,5
29,9/24/2014 10:00,12.401,10677.8,5
30,9/24/2014 10:15,13.076,5511.1,5
